Name,Account number,Date,OldValue,NewValue
TransportCo1,AB0000000,01/01/2025,Blocked,Active
TransportCo1,AB0000000,22/01/2025,Active,Blocked
TransportCo1,AB0000000,29/01/2025,Blocked,Active
TransportCo1,AB0000000,12/02/2025,Active,Blocked
TransportCo2,AB0000001,01/01/2025,Blocked,Active
TransportCo2,AB0000001,15/01/2025,Active,Blocked
TransportCo2,AB0000001,05/02/2025,Blocked,Active
TransportCo2,AB0000001,12/02/2025,Active,Blocked
TransportCo2,AB0000001,05/03/2025,Blocked,Active
TransportCo2,AB0000001,26/03/2025,Active,Blocked
TransportCo3,AB0000002,01/01/2025,Blocked,Active
TransportCo3,AB0000002,15/01/2025,Active,Blocked
TransportCo3,AB0000002,29/01/2025,Blocked,Active
TransportCo3,AB0000002,12/02/2025,Active,Blocked
TransportCo3,AB0000002,26/02/2025,Blocked,Active
TransportCo3,AB0000002,12/03/2025,Active,Blocked
TransportCo3,AB0000002,26/03/2025,Blocked,Active
TransportCo3,AB0000002,16/04/2025,Active,Blocked
TransportCo3,AB0000002,23/04/2025,Blocked,Active
TransportCo3,AB0000002,07/05/2025,Active,Blocked
TransportCo3,AB0000002,21/05/2025,Blocked,Active
TransportCo3,AB0000002,04/06/2025,Active,Blocked
TransportCo3,AB0000002,25/06/2025,Blocked,Active
TransportCo4,AB0000003,01/01/2025,Active,Blocked
TransportCo4,AB0000003,22/01/2025,Blocked,Active
TransportCo4,AB0000003,29/01/2025,Active,Blocked
TransportCo4,AB0000003,05/02/2025,Blocked,Active
TransportCo4,AB0000003,26/02/2025,Active,Blocked
TransportCo4,AB0000003,05/03/2025,Blocked,Active
TransportCo4,AB0000003,19/03/2025,Active,Blocked
TransportCo4,AB0000003,09/04/2025,Blocked,Active
TransportCo4,AB0000003,16/04/2025,Active,Blocked
TransportCo4,AB0000003,07/05/2025,Blocked,Active
TransportCo4,AB0000003,21/05/2025,Active,Blocked
TransportCo4,AB0000003,04/06/2025,Blocked,Active
TransportCo4,AB0000003,11/06/2025,Active,Blocked
TransportCo4,AB0000003,18/06/2025,Blocked,Active
TransportCo4,AB0000003,25/06/2025,Active,Blocked
TransportCo5,AB0000004,01/01/2025,Blocked,Active
TransportCo5,AB0000004,22/01/2025,Active,Blocked
TransportCo6,AB0000005,01/01/2025,Blocked,Active
TransportCo6,AB0000005,08/01/2025,Active,Blocked
TransportCo7,AB0000006,01/01/2025,Blocked,Active
TransportCo7,AB0000006,08/01/2025,Active,Blocked
TransportCo7,AB0000006,29/01/2025,Blocked,Active
TransportCo7,AB0000006,05/02/2025,Active,Blocked
TransportCo7,AB0000006,26/02/2025,Blocked,Active
TransportCo7,AB0000006,12/03/2025,Active,Blocked
TransportCo7,AB0000006,19/03/2025,Blocked,Active
TransportCo7,AB0000006,26/03/2025,Active,Blocked
TransportCo8,AB0000007,01/01/2025,Blocked,Active
TransportCo8,AB0000007,22/01/2025,Active,Blocked
TransportCo8,AB0000007,29/01/2025,Blocked,Active
TransportCo8,AB0000007,05/02/2025,Active,Blocked
TransportCo8,AB0000007,26/02/2025,Blocked,Active
TransportCo8,AB0000007,05/03/2025,Active,Blocked
TransportCo8,AB0000007,12/03/2025,Blocked,Active
TransportCo8,AB0000007,02/04/2025,Active,Blocked
TransportCo8,AB0000007,09/04/2025,Blocked,Active
TransportCo9,AB0000008,01/01/2025,Active,Blocked
TransportCo9,AB0000008,08/01/2025,Blocked,Active
TransportCo9,AB0000008,22/01/2025,Active,Blocked
TransportCo9,AB0000008,05/02/2025,Blocked,Active
TransportCo9,AB0000008,26/02/2025,Active,Blocked
TransportCo10,AB0000009,01/01/2025,Blocked,Active
TransportCo10,AB0000009,22/01/2025,Active,Blocked
TransportCo10,AB0000009,29/01/2025,Blocked,Active
TransportCo10,AB0000009,19/02/2025,Active,Blocked
TransportCo11,AB0000010,01/01/2025,Blocked,Active
TransportCo11,AB0000010,15/01/2025,Active,Blocked
TransportCo11,AB0000010,22/01/2025,Blocked,Active
TransportCo11,AB0000010,05/02/2025,Active,Blocked
TransportCo11,AB0000010,19/02/2025,Blocked,Active
TransportCo11,AB0000010,26/02/2025,Active,Blocked
TransportCo11,AB0000010,12/03/2025,Blocked,Active
TransportCo12,AB0000011,01/01/2025,Active,Blocked
TransportCo12,AB0000011,15/01/2025,Blocked,Active
TransportCo12,AB0000011,05/02/2025,Active,Blocked
TransportCo12,AB0000011,19/02/2025,Blocked,Active
TransportCo12,AB0000011,05/03/2025,Active,Blocked
TransportCo12,AB0000011,19/03/2025,Blocked,Active
TransportCo12,AB0000011,02/04/2025,Active,Blocked
TransportCo12,AB0000011,09/04/2025,Blocked,Active
TransportCo12,AB0000011,30/04/2025,Active,Blocked
TransportCo12,AB0000011,21/05/2025,Blocked,Active
TransportCo12,AB0000011,11/06/2025,Active,Blocked
TransportCo12,AB0000011,02/07/2025,Blocked,Active
TransportCo12,AB0000011,23/07/2025,Active,Blocked
TransportCo12,AB0000011,13/08/2025,Blocked,Active
TransportCo13,AB0000012,01/01/2025,Active,Blocked
TransportCo13,AB0000012,08/01/2025,Blocked,Active
TransportCo13,AB0000012,22/01/2025,Active,Blocked
TransportCo13,AB0000012,05/02/2025,Blocked,Active
TransportCo13,AB0000012,12/02/2025,Active,Blocked
TransportCo13,AB0000012,05/03/2025,Blocked,Active
TransportCo13,AB0000012,26/03/2025,Active,Blocked
TransportCo13,AB0000012,16/04/2025,Blocked,Active
TransportCo13,AB0000012,30/04/2025,Active,Blocked
TransportCo13,AB0000012,21/05/2025,Blocked,Active
TransportCo13,AB0000012,11/06/2025,Active,Blocked
TransportCo13,AB0000012,02/07/2025,Blocked,Active
TransportCo13,AB0000012,09/07/2025,Active,Blocked
TransportCo14,AB0000013,01/01/2025,Blocked,Active
TransportCo14,AB0000013,22/01/2025,Active,Blocked
TransportCo15,AB0000014,01/01/2025,Blocked,Active
TransportCo15,AB0000014,15/01/2025,Active,Blocked
TransportCo15,AB0000014,29/01/2025,Blocked,Active
TransportCo15,AB0000014,05/02/2025,Active,Blocked
TransportCo16,AB0000015,01/01/2025,Blocked,Active
TransportCo16,AB0000015,15/01/2025,Active,Blocked
TransportCo16,AB0000015,05/02/2025,Blocked,Active
TransportCo16,AB0000015,12/02/2025,Active,Blocked
TransportCo16,AB0000015,19/02/2025,Blocked,Active
TransportCo16,AB0000015,12/03/2025,Active,Blocked
TransportCo16,AB0000015,26/03/2025,Blocked,Active
TransportCo16,AB0000015,02/04/2025,Active,Blocked
TransportCo16,AB0000015,16/04/2025,Blocked,Active
TransportCo16,AB0000015,30/04/2025,Active,Blocked
TransportCo16,AB0000015,21/05/2025,Blocked,Active
TransportCo16,AB0000015,04/06/2025,Active,Blocked
TransportCo16,AB0000015,18/06/2025,Blocked,Active
TransportCo17,AB0000016,01/01/2025,Active,Blocked
TransportCo17,AB0000016,15/01/2025,Blocked,Active
TransportCo17,AB0000016,05/02/2025,Active,Blocked
TransportCo17,AB0000016,26/02/2025,Blocked,Active
TransportCo17,AB0000016,19/03/2025,Active,Blocked
TransportCo17,AB0000016,26/03/2025,Blocked,Active
TransportCo17,AB0000016,09/04/2025,Active,Blocked
TransportCo17,AB0000016,30/04/2025,Blocked,Active
TransportCo17,AB0000016,21/05/2025,Active,Blocked
TransportCo17,AB0000016,04/06/2025,Blocked,Active
TransportCo17,AB0000016,25/06/2025,Active,Blocked
TransportCo17,AB0000016,16/07/2025,Blocked,Active
TransportCo17,AB0000016,23/07/2025,Active,Blocked
TransportCo18,AB0000017,01/01/2025,Blocked,Active
TransportCo18,AB0000017,22/01/2025,Active,Blocked
TransportCo18,AB0000017,05/02/2025,Blocked,Active
TransportCo19,AB0000018,01/01/2025,Active,Blocked
TransportCo19,AB0000018,22/01/2025,Blocked,Active
TransportCo19,AB0000018,29/01/2025,Active,Blocked
TransportCo19,AB0000018,12/02/2025,Blocked,Active
TransportCo20,AB0000019,01/01/2025,Active,Blocked
TransportCo20,AB0000019,08/01/2025,Blocked,Active
TransportCo20,AB0000019,29/01/2025,Active,Blocked
TransportCo20,AB0000019,12/02/2025,Blocked,Active
TransportCo20,AB0000019,19/02/2025,Active,Blocked
TransportCo20,AB0000019,26/02/2025,Blocked,Active
TransportCo20,AB0000019,05/03/2025,Active,Blocked
TransportCo20,AB0000019,12/03/2025,Blocked,Active
TransportCo21,AB0000020,01/01/2025,Active,Blocked
TransportCo21,AB0000020,08/01/2025,Blocked,Active
TransportCo21,AB0000020,29/01/2025,Active,Blocked
TransportCo21,AB0000020,12/02/2025,Blocked,Active
TransportCo21,AB0000020,19/02/2025,Active,Blocked
TransportCo21,AB0000020,26/02/2025,Blocked,Active
TransportCo21,AB0000020,12/03/2025,Active,Blocked
TransportCo21,AB0000020,26/03/2025,Blocked,Active
TransportCo21,AB0000020,09/04/2025,Active,Blocked
TransportCo21,AB0000020,23/04/2025,Blocked,Active
TransportCo21,AB0000020,14/05/2025,Active,Blocked
TransportCo21,AB0000020,21/05/2025,Blocked,Active
TransportCo21,AB0000020,04/06/2025,Active,Blocked
TransportCo21,AB0000020,11/06/2025,Blocked,Active
TransportCo22,AB0000021,01/01/2025,Active,Blocked
TransportCo22,AB0000021,08/01/2025,Blocked,Active
TransportCo22,AB0000021,15/01/2025,Active,Blocked
TransportCo22,AB0000021,05/02/2025,Blocked,Active
TransportCo22,AB0000021,19/02/2025,Active,Blocked
TransportCo22,AB0000021,05/03/2025,Blocked,Active
TransportCo22,AB0000021,26/03/2025,Active,Blocked
TransportCo22,AB0000021,16/04/2025,Blocked,Active
TransportCo22,AB0000021,30/04/2025,Active,Blocked
TransportCo22,AB0000021,07/05/2025,Blocked,Active
TransportCo23,AB0000022,01/01/2025,Active,Blocked
TransportCo23,AB0000022,08/01/2025,Blocked,Active
TransportCo23,AB0000022,29/01/2025,Active,Blocked
TransportCo23,AB0000022,12/02/2025,Blocked,Active
TransportCo23,AB0000022,05/03/2025,Active,Blocked
TransportCo23,AB0000022,26/03/2025,Blocked,Active
TransportCo23,AB0000022,16/04/2025,Active,Blocked
TransportCo24,AB0000023,01/01/2025,Blocked,Active
TransportCo25,AB0000024,01/01/2025,Active,Blocked
TransportCo25,AB0000024,15/01/2025,Blocked,Active
TransportCo25,AB0000024,05/02/2025,Active,Blocked
TransportCo25,AB0000024,26/02/2025,Blocked,Active
TransportCo25,AB0000024,12/03/2025,Active,Blocked
TransportCo26,AB0000025,01/01/2025,Blocked,Active
TransportCo26,AB0000025,15/01/2025,Active,Blocked
TransportCo26,AB0000025,22/01/2025,Blocked,Active
TransportCo26,AB0000025,05/02/2025,Active,Blocked
TransportCo26,AB0000025,19/02/2025,Blocked,Active
TransportCo26,AB0000025,26/02/2025,Active,Blocked
TransportCo26,AB0000025,12/03/2025,Blocked,Active
TransportCo26,AB0000025,02/04/2025,Active,Blocked
TransportCo26,AB0000025,16/04/2025,Blocked,Active
TransportCo26,AB0000025,07/05/2025,Active,Blocked
TransportCo26,AB0000025,28/05/2025,Blocked,Active
TransportCo26,AB0000025,04/06/2025,Active,Blocked
TransportCo26,AB0000025,25/06/2025,Blocked,Active
TransportCo27,AB0000026,01/01/2025,Active,Blocked
TransportCo28,AB0000027,01/01/2025,Blocked,Active
TransportCo28,AB0000027,22/01/2025,Active,Blocked
TransportCo28,AB0000027,29/01/2025,Blocked,Active
TransportCo28,AB0000027,05/02/2025,Active,Blocked
TransportCo28,AB0000027,19/02/2025,Blocked,Active
TransportCo28,AB0000027,12/03/2025,Active,Blocked
TransportCo28,AB0000027,02/04/2025,Blocked,Active
TransportCo28,AB0000027,23/04/2025,Active,Blocked
TransportCo28,AB0000027,14/05/2025,Blocked,Active
TransportCo28,AB0000027,04/06/2025,Active,Blocked
TransportCo28,AB0000027,11/06/2025,Blocked,Active
TransportCo28,AB0000027,25/06/2025,Active,Blocked
TransportCo28,AB0000027,02/07/2025,Blocked,Active
TransportCo29,AB0000028,01/01/2025,Active,Blocked
TransportCo29,AB0000028,08/01/2025,Blocked,Active
TransportCo29,AB0000028,22/01/2025,Active,Blocked
TransportCo29,AB0000028,12/02/2025,Blocked,Active
TransportCo29,AB0000028,26/02/2025,Active,Blocked
TransportCo29,AB0000028,19/03/2025,Blocked,Active
TransportCo29,AB0000028,02/04/2025,Active,Blocked
TransportCo29,AB0000028,09/04/2025,Blocked,Active
TransportCo29,AB0000028,23/04/2025,Active,Blocked
TransportCo29,AB0000028,30/04/2025,Blocked,Active
TransportCo29,AB0000028,21/05/2025,Active,Blocked
TransportCo29,AB0000028,04/06/2025,Blocked,Active
TransportCo30,AB0000029,01/01/2025,Active,Blocked
TransportCo30,AB0000029,15/01/2025,Blocked,Active
TransportCo30,AB0000029,29/01/2025,Active,Blocked
TransportCo30,AB0000029,05/02/2025,Blocked,Active
TransportCo30,AB0000029,26/02/2025,Active,Blocked
TransportCo30,AB0000029,05/03/2025,Blocked,Active
TransportCo31,AB0000030,01/01/2025,Active,Blocked
TransportCo31,AB0000030,22/01/2025,Blocked,Active
TransportCo31,AB0000030,12/02/2025,Active,Blocked
TransportCo31,AB0000030,05/03/2025,Blocked,Active
TransportCo31,AB0000030,19/03/2025,Active,Blocked
TransportCo31,AB0000030,02/04/2025,Blocked,Active
TransportCo31,AB0000030,23/04/2025,Active,Blocked
TransportCo31,AB0000030,30/04/2025,Blocked,Active
TransportCo31,AB0000030,14/05/2025,Active,Blocked
TransportCo31,AB0000030,28/05/2025,Blocked,Active
TransportCo31,AB0000030,18/06/2025,Active,Blocked
TransportCo31,AB0000030,09/07/2025,Blocked,Active
TransportCo31,AB0000030,30/07/2025,Active,Blocked
TransportCo31,AB0000030,20/08/2025,Blocked,Active
TransportCo31,AB0000030,10/09/2025,Active,Blocked
TransportCo32,AB0000031,01/01/2025,Blocked,Active
TransportCo32,AB0000031,15/01/2025,Active,Blocked
TransportCo32,AB0000031,22/01/2025,Blocked,Active
TransportCo32,AB0000031,05/02/2025,Active,Blocked
TransportCo32,AB0000031,26/02/2025,Blocked,Active
TransportCo32,AB0000031,12/03/2025,Active,Blocked
TransportCo32,AB0000031,02/04/2025,Blocked,Active
TransportCo33,AB0000032,01/01/2025,Active,Blocked
TransportCo33,AB0000032,08/01/2025,Blocked,Active
TransportCo33,AB0000032,22/01/2025,Active,Blocked
TransportCo33,AB0000032,12/02/2025,Blocked,Active
TransportCo33,AB0000032,19/02/2025,Active,Blocked
TransportCo33,AB0000032,26/02/2025,Blocked,Active
TransportCo33,AB0000032,12/03/2025,Active,Blocked
TransportCo33,AB0000032,19/03/2025,Blocked,Active
TransportCo34,AB0000033,01/01/2025,Active,Blocked
TransportCo34,AB0000033,08/01/2025,Blocked,Active
TransportCo34,AB0000033,22/01/2025,Active,Blocked
TransportCo34,AB0000033,29/01/2025,Blocked,Active
TransportCo34,AB0000033,19/02/2025,Active,Blocked
TransportCo34,AB0000033,05/03/2025,Blocked,Active
TransportCo34,AB0000033,12/03/2025,Active,Blocked
TransportCo34,AB0000033,02/04/2025,Blocked,Active
